Cumulative Confirmed Cases,Total New Confirmed Cases,Cumulative Deaths,Total New Deaths,Classification of Transmission,Days Since Previous Reported Case,Country/Region,Date,Retrieved,Report Number
Germany,91714,5936,1342,184,Local transmission,32,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
France,67757,4221,7546,1053,Local transmission,33,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
The United Kingdom,41907,3735,4313,708,Local transmission,34,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Turkey,23934,3013,501,76,Local transmission,35,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Switzerland,20489,783,666,59,Local transmission,36,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Belgium,18431,1661,1283,140,Local transmission,37,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Netherlands,16627,904,1651,164,Local transmission,38,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Austria,11766,241,186,18,Local transmission,39,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Portugal,10524,638,266,20,Local transmission,40,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Israel,7589,559,42,6,Local transmission,41,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Sweden,6443,365,373,40,Local transmission,42,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Norway,5510,302,50,6,Local transmission,43,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Russian Federation,4731,582,43,9,Local transmission,44,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Ireland,4604,331,137,17,Local transmission,45,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Denmark,4077,320.0,161.0,22.0,Local transmission,0,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Poland,3627,244.0,79.0,8.0,Local transmission,1,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Romania,3613,430.0,141.0,8.0,Local transmission,2,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Luxembourg,2729,117.0,31.0,0.0,Local transmission,3,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Finland,1882,267.0,25.0,5.0,Local transmission,4,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Greece,1673,60.0,68.0,9.0,Local transmission,5,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Serbia,1624,148.0,39.0,0.0,Local transmission,6,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Iceland,1417,53.0,4.0,0.0,Local transmission,7,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Ukraine,1251,155.0,32.0,4.0,Local transmission,8,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Croatia,1126,47.0,12.0,4.0,Local transmission,9,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Estonia,1018,57.0,13.0,1.0,Local transmission,10,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Slovenia,977,43.0,22.0,2.0,Local transmission,11,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Lithuania,771,0.0,9.0,0.0,Local transmission,12,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Republic of Moldova,752,161.0,12.0,3.0,Local transmission,13,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Armenia,746,10.0,7.0,0.0,Local transmission,14,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Hungary,733,55.0,34.0,2.0,Local transmission,15,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Bosnia andHerzegovina",632,46.0,21.0,3.0,Local transmission,16,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Kazakhstan,531,71.0,5.0,2.0,Local transmission,17,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Azerbaijan,512,69.0,5.0,0.0,Local transmission,18,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Latvia,509,16.0,1.0,0.0,Local transmission,19,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Bulgaria,503,18.0,17.0,3.0,Local transmission,20,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
North Macedonia,483,53.0,17.0,5.0,Local transmission,21,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Slovakia,471,21.0,0.0,0.0,Local transmission,22,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Andorra,466,24.0,17.0,1.0,Local transmission,23,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Belarus,440,186.0,4.0,0.0,Local transmission,24,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Cyprus,426,30.0,11.0,0.0,Local transmission,25,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Albania,333,0.0,18.0,1.0,Local transmission,26,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Uzbekistan,298,57.0,2.0,0.0,Local transmission,27,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
San Marino,259,7.0,32.0,0.0,Local transmission,28,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Malta,213,11.0,0.0,0.0,Local transmission,29,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Montenegro,197,37.0,2.0,0.0,Local transmission,30,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Georgia,170,13.0,1.0,1.0,Local transmission,31,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Kyrgyzstan,147,3.0,1.0,0.0,Local transmission,32,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Liechtenstein,77,1.0,1.0,1.0,Under investigation,33,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Monaco,37,0.0,0.0,0.0,Local transmission,34,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Holy See,7,0.0,0.0,0.0,Under investigation,35,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Faroe Islands,181,2.0,0.0,0.0,Local transmission,37,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Kosovo[1],140,8.0,1.0,0.0,Local transmission,38,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guernsey,136,22.0,2.0,0.0,Local transmission,39,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Isle of Man,126,12.0,1.0,0.0,Local transmission,40,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Jersey,123,5.0,3.0,1.0,Local transmission,41,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Gibraltar,98,3.0,1.0,0.0,Local transmission,42,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Greenland,10,0.0,0.0,0.0,Under investigation,43,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
India,3374,1073.0,77.0,21.0,Local transmission,45,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Indonesia,2092,106.0,191.0,10.0,Local transmission,46,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Sri Lanka,159,8.0,5.0,1.0,Local transmission,0,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Bangladesh,70,9.0,8.0,2.0,Local transmission,1,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Myanmar,20,0.0,1.0,0.0,Local transmission,2,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Maldives,19,0.0,0.0,0.0,Local transmission,3,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Nepal,9,3.0,0.0,0.0,Local transmission,4,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Bhutan,5,0.0,0.0,0.0,Imported cases only,5,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Timor-Leste,1,0.0,0.0,0.0,Imported cases only,6,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Iran (Islamic Republicof)",55743,2560.0,3452.0,158.0,Local transmission,8,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Pakistan,2880,430.0,45.0,10.0,Local transmission,9,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Saudi Arabia,2370,331.0,29.0,4.0,Local transmission,10,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
United Arab Emirates,1505,241.0,10.0,1.0,Local transmission,11,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Qatar,1325,250.0,3.0,0.0,Local transmission,12,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Egypt,1070,85.0,71.0,5.0,Local transmission,13,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Morocco,960,116.0,66.0,16.0,Local transmission,14,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Iraq,878,58.0,56.0,2.0,Local transmission,15,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Bahrain,688,15.0,4.0,0.0,Local transmission,16,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Kuwait,556,77.0,1.0,0.0,Local transmission,17,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Tunisia,553,58.0,19.0,1.0,Local transmission,18,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Lebanon,527,19.0,18.0,1.0,Local transmission,19,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Jordan,323,13.0,5.0,0.0,Local transmission,20,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Afghanistan,299,29.0,7.0,2.0,Local transmission,21,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Oman,298,21.0,2.0,1.0,Local transmission,22,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Djibouti,51,1.0,0.0,0.0,Local transmission,23,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Libya,17,0.0,1.0,0.0,Local transmission,24,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Syrian Arab Republic,16,0.0,2.0,0.0,Local transmission,25,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Sudan,10,0.0,2.0,0.0,Local transmission,26,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Somalia,7,0.0,0.0,0.0,Local transmission,27,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"occupied Palestinianterritory",217,24.0,1.0,0.0,Local transmission,29,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"United States ofAmerica",273808,32105.0,7020.0,1166.0,Local transmission,31,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Canada,12938,1206.0,214.0,62.0,Local transmission,32,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Brazil,9056,1146.0,359.0,60.0,Local transmission,33,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Chile,4161,424.0,27.0,5.0,Local transmission,34,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Ecuador,3465,302.0,172.0,52.0,Local transmission,35,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Mexico,1688,178.0,60.0,10.0,Local transmission,36,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Panama,1673,198.0,41.0,4.0,Local transmission,37,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Peru,1595,181.0,61.0,10.0,Local transmission,38,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Dominican Republic,1488,0.0,68.0,0.0,Local transmission,39,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Argentina,1353,88.0,42.0,5.0,Local transmission,40,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Colombia,1267,106.0,25.0,6.0,Local transmission,41,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Costa Rica,416,20.0,2.0,0.0,Local transmission,42,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Uruguay,386,17.0,4.0,0.0,Local transmission,43,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Cuba,288,19.0,6.0,0.0,Local transmission,44,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Honduras,264,42.0,15.0,0.0,Local transmission,45,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Bolivia (PlurinationalState of)",139,7.0,10.0,1.0,Local transmission,0,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Trinidad and Tobago,100,3.0,6.0,0.0,Local transmission,1,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Paraguay,96,4.0,3.0,0.0,Local transmission,2,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
El Salvador,56,10.0,3.0,1.0,Local transmission,3,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Jamaica,53,6.0,3.0,0.0,Local transmission,4,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Barbados,51,6.0,0.0,0.0,Local transmission,5,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guatemala,50,0.0,1.0,0.0,Local transmission,6,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Bahamas,24,0.0,3.0,0.0,Local transmission,7,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guyana,23,4.0,4.0,0.0,Local transmission,8,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Haiti,18,0.0,0.0,0.0,Imported cases only,9,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Saint Lucia,13,0.0,0.0,0.0,Local transmission,10,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Grenada,12,2.0,0.0,0.0,Local transmission,11,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Dominica,11,0.0,0.0,0.0,Local transmission,12,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Suriname,10,0.0,0.0,0.0,Local transmission,13,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Saint Kitts and Nevis,9,1.0,0.0,0.0,Imported cases only,14,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Antigua and Barbuda,7,0.0,0.0,0.0,Imported cases only,15,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Nicaragua,5,0.0,1.0,0.0,Imported cases only,16,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Belize,4,1.0,0.0,0.0,Local transmission,17,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Saint Vincent and theGrenadines",3,0.0,0.0,0.0,Imported cases only,18,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Puerto Rico,452,74.0,18.0,3.0,Local transmission,20,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Martinique,145,7.0,3.0,0.0,Local transmission,21,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guadeloupe,130,0.0,7.0,0.0,Local transmission,22,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Aruba,64,2.0,0.0,0.0,Local transmission,23,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
French Guiana,62,5.0,0.0,0.0,Local transmission,24,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"United States VirginIslands",40,3.0,0.0,0.0,Local transmission,25,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Bermuda,35,0.0,0.0,0.0,Local transmission,26,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Cayman Islands,28,0.0,1.0,0.0,Local transmission,27,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Saint Martin,24,2.0,2.0,0.0,Under investigation,28,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Sint Maarten,23,0.0,2.0,0.0,Imported cases only,29,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Curaçao,11,0.0,1.0,0.0,Imported cases only,30,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Montserrat,6,1.0,0.0,0.0,Imported cases only,31,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Saint Barthélemy,6,0.0,0.0,0.0,Under investigation,32,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Turks and CaicosIslands",5,0.0,0.0,0.0,Local transmission,33,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Anguilla,3,0.0,0.0,0.0,Local transmission,34,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
British Virgin Islands,3,0.0,0.0,0.0,Imported cases only,35,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Bonaire, Sint Eustatiusand Saba",2,0.0,0.0,0.0,Imported cases only,36,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
"Falkland Islands(Malvinas)",1,1.0,0.0,0.0,Under investigation,37,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
South Africa,1585,80.0,9.0,2.0,Local transmission,39,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Algeria,1251,265.0,130.0,47.0,Local transmission,40,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Cameroon,555,309.0,9.0,2.0,Local transmission,41,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Côte d’Ivoire,245,42,2,1.0,Local transmission,0,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Senegal,219,12,2,1.0,Local transmission,1,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Nigeria,210,20,4,2.0,Local transmission,2,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Ghana,205,1,5,0.0,Local transmission,3,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Mauritius,196,10,7,0.0,Local transmission,4,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Democratic Republic,148,14,16,3.0,Local transmission,5,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Niger,144,46,8,3.0,Local transmission,7,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Kenya,122,0,4,0.0,Local transmission,8,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guinea,111,59,0,0.0,Local transmission,9,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Rwanda,102,13,0,0.0,Local transmission,10,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Madagascar,70,5,0,0.0,Local transmission,11,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Uganda,48,3,0,0.0,Local transmission,12,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Congo,45,4,5,2.0,Local transmission,13,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Togo,40,1,3,1.0,Local transmission,14,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Mali,39,3,4,1.0,Local transmission,15,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Zambia,39,0,1,0.0,Local transmission,16,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Ethiopia,38,3,0,0.0,Local transmission,17,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Gabon,21,0,1,0.0,Imported cases only,18,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Eritrea,20,0,0,0.0,Local transmission,19,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
United Republic of,20,0,1,0.0,Local transmission,20,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guinea-Bissau,18,3,0,0.0,Imported cases only,22,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Equatorial Guinea,16,1,0,0.0,Local transmission,23,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Namibia,14,1,0,0.0,Local transmission,24,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Benin,13,0,0,0.0,Imported cases only,25,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Angola,10,0,2,0.0,Imported cases only,26,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Liberia,10,3,1,1.0,Local transmission,27,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Mozambique,10,0,0,0.0,Local transmission,28,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Seychelles,10,0,0,0.0,Imported cases only,29,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Central African,9,1,0,0.0,Local transmission,30,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Eswatini,9,0,0,0.0,Imported cases only,32,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Zimbabwe,9,0,1,0.0,Local transmission,33,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Chad,7,0,0,0.0,Imported cases only,34,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Mauritania,6,0,1,0.0,Imported cases only,35,,,
Cabo Verde,5,0,1,0.0,Imported cases only,36,,,
Botswana,4,0,1,0.0,Imported cases only,37,,,
Gambia,4,0,1,0.0,Imported cases only,38,,,
Sierra Leone,4,2,0,0.0,Imported cases only,39,,,
Burundi,3,0,0,0.0,Local transmission,40,,,
Malawi,3,0,0,0.0,Local transmission,41,,,
Réunion,334,13,0,0.0,Local transmission,43,,,
Mayotte,147,19,2,0.0,Local transmission,44,,,
